,Pitcher,Control,Pis,Mus,Covariances
30,"Singer, Brady",7.918828151,"[0.52272146,0.47727854]","[[0.81968503,1.22120323],[-0.12077003,1.85947113]]","[[[0.21066788,-0.06536864],[-0.06536864,0.25011344]],[[0.18196989,-0.0408753],[-0.0408753,0.24398568]]]"
14,"Strider, Spencer",8.202263983,"[0.06388747,0.11603825,0.48351955,0.33655473]","[[0.89804502,0.21877556],[0.30703469,2.85096762],[0.83301676,1.23715463],[0.03569919,1.67384439]]","[[[0.21567004,-0.02980194],[-0.02980194,0.03061273]],[[0.2814364,-0.02186281],[-0.02186281,0.04471242]],[[0.18401512,-0.05786081],[-0.05786081,0.27852035]],[[0.16588486,-0.10951298],[-0.10951298,0.31312814]]]"
33,"DeSclafani, Anthony",8.671741023,"[0.51895719,0.48104281]","[[0.20285498,1.68613547],[-0.0860797,2.79638854]]","[[[0.2631129,-0.03591903],[-0.03591903,0.17376994]],[[0.4035934,-0.03376379],[-0.03376379,0.14087541]]]"
0,"Houck, Tanner",8.803511073,"[0.55825124,0.28578452,0.15596424]","[[-0.01114957,1.82569027],[0.33410971,1.06220292],[-0.58883703,2.49743016]]","[[[0.43413357,-0.05355599],[-0.05355599,0.09177567]],[[0.42468833,-0.06898304],[-0.06898304,0.09155384]],[[0.4365617,-0.14394104],[-0.14394104,0.07887611]]]"
3,"Javier, Cristian",8.822328372,"[0.11894179,0.15767709,0.63272441,0.09065671]","[[-0.88529848,2.5830847],[0.16228962,1.07743778],[0.04950595,2.3600582],[-0.28925528,3.43552253]]","[[[0.06424708,-0.0219493],[-0.0219493,0.1755843]],[[0.27753268,0.02762161],[0.02762161,0.19498402]],[[0.19032184,-0.03809371],[-0.03809371,0.39734557]],[[0.18452458,-0.10432692],[-0.10432692,0.08914346]]]"
21,"Oviedo, Johan",8.885571595,"[0.34564055,0.49105375,0.1633057]","[[0.190455,1.33704446],[-0.18403909,2.47511867],[-0.94141671,2.05874315]]","[[[0.36318789,-0.07453685],[-0.07453685,0.21879974]],[[0.2977027,-0.1529037],[-0.1529037,0.33393144]],[[0.131992,-0.03324473],[-0.03324473,0.14037468]]]"
16,"Castillo, Luis",8.910586719,"[0.53894975,0.19318647,0.26786378]","[[0.01259495,1.96947151],[1.23763396,1.24822556],[0.22716713,1.71312495]]","[[[0.45901975,-0.00908107],[-0.00908107,0.26255615]],[[0.09287396,-0.03776621],[-0.03776621,0.18642895]],[[0.07404203,-0.09402206],[-0.09402206,0.33232904]]]"
2,"Brown, Hunter",8.951238732,"[0.52214007,0.47785993]","[[0.62688357,1.81534551],[0.15644101,2.80347388]]","[[[0.13203771,-0.0194016],[-0.0194016,0.28343209]],[[0.33078976,0.02169383],[0.02169383,0.30027401]]]"
32,"Ashcraft, Graham",9.133366687,"[0.11524262,0.55969305,0.32506433]","[[0.98885845,0.68419209],[-0.30372152,2.58278163],[0.59976054,1.87041306]]","[[[0.15870667,0.03434452],[0.03434452,0.05978513]],[[0.28818668,-0.04049237],[-0.04049237,0.43925663]],[[0.15733082,0.05569492],[0.05569492,0.16077408]]]"
8,"Doval, Camilo",9.203637796,"[0.15596322,0.09167293,0.28504562,0.46731824]","[[1.03608964,0.74516569],[-0.50396552,2.56125886],[0.24313212,1.64975141],[0.22979947,1.73831452]]","[[[0.15034867,0.03547281],[0.03547281,0.09175767]],[[0.09630801,0.08885118],[0.08885118,0.08475269]],[[0.39199018,0.19965649],[0.19965649,0.24391616]],[[0.27708153,-0.17041375],[-0.17041375,0.25116571]]]"
