,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
164,"Rodón, Carlos",5.630202221702988,7.459884295558631,6.092387092780566,[0.13632702 0.24274986 0.15918897 0.10163194 0.08493434 0.27516787],"[[ 0.20003436  2.0702803 ]
 [-0.22638553  2.861656  ]
 [-0.18515983  3.61330535]
 [ 0.60772959  4.11422089]
 [ 1.01577973  2.69397149]
 [ 0.52751091  3.17059211]]","[[[0.17093028 0.04005054]
  [0.04005054 0.09722848]]

 [[0.1350555  0.08961211]
  [0.08961211 0.22280013]]

 [[0.13496569 0.0118576 ]
  [0.0118576  0.25054114]]

 [[0.15483223 0.03452752]
  [0.03452752 0.06446961]]

 [[0.05537173 0.00173079]
  [0.00173079 0.24419767]]

 [[0.12452758 0.09844547]
  [0.09844547 0.2373092 ]]]"
42,"Kelly, Merrill",5.091200815365054,8.869998966077517,6.203803623129429,[0.5065741  0.35324722 0.14017868],"[[ 0.32469092  2.68502632]
 [ 1.03210664  1.86195079]
 [-0.4104553   2.39335933]]","[[[ 0.17588428 -0.02561381]
  [-0.02561381  0.17042219]]

 [[ 0.15451427 -0.00896985]
  [-0.00896985  0.13494903]]

 [[ 0.05792344 -0.08969099]
  [-0.08969099  0.31385284]]]"
160,"Fried, Max",5.338891041142846,9.654298499112418,6.227107123658719,[0.19832029 0.26487852 0.10270073 0.08311072 0.35098975],"[[ 0.05631668  2.61283149]
 [-1.12320316  2.82678621]
 [ 0.33465785  3.47919087]
 [-0.72274298  1.61377959]
 [-0.45030421  2.88320112]]","[[[ 0.14854321 -0.02498781]
  [-0.02498781  0.10195797]]

 [[ 0.09761284  0.03813831]
  [ 0.03813831  0.26632002]]

 [[ 0.09703227 -0.06067   ]
  [-0.06067     0.13936015]]

 [[ 0.25691944  0.03665395]
  [ 0.03665395  0.017852  ]]

 [[ 0.0569729   0.03230696]
  [ 0.03230696  0.35251003]]]"
59,"Bednar, David",4.743622032239447,8.610275296137784,6.276923489409001,[0.55349534 0.07674751 0.09895169 0.27080546],"[[ 0.10813527  2.89489544]
 [ 0.76432922  3.0220365 ]
 [-0.18959792  2.02417647]
 [-0.15367245  4.00070939]]","[[[ 0.2241696  -0.04330612]
  [-0.04330612  0.11840328]]

 [[ 0.05346405  0.17779078]
  [ 0.17779078  0.59260385]]

 [[ 0.03965038 -0.00513328]
  [-0.00513328  0.07587517]]

 [[ 0.17141969 -0.0311764 ]
  [-0.0311764   0.11886609]]]"
51,"Suárez, Ranger",4.962344724462454,8.670270662569925,6.317838926958679,[0.38500893 0.18624925 0.42874182],"[[-0.08464256  2.79401099]
 [ 0.06869354  3.62109441]
 [-0.78459045  2.5588477 ]]","[[[ 0.17433643 -0.16142612]
  [-0.16142612  0.28346372]]

 [[ 0.11130652 -0.01165846]
  [-0.01165846  0.10739925]]

 [[ 0.10705228  0.01823135]
  [ 0.01823135  0.24544391]]]"
92,"Urquidy, José",5.650595695672411,9.90749010017888,6.482258370188113,[0.15800276 0.51126936 0.22924439 0.10148349],"[[ 0.72258432  1.80385217]
 [ 0.36938242  2.72222026]
 [ 0.06697649  3.54532676]
 [-0.66257091  3.68294922]]","[[[0.18561592 0.01736824]
  [0.01736824 0.06755844]]

 [[0.26899969 0.02422939]
  [0.02422939 0.15496948]]

 [[0.20468525 0.1188249 ]
  [0.1188249  0.18550431]]

 [[0.06106351 0.06356859]
  [0.06356859 0.15465101]]]"
126,"Gausman, Kevin",5.6724601324584905,9.568642316691639,6.514366336275183,[0.43736784 0.13765577 0.21841746 0.20655893],"[[ 0.25660788  2.27199577]
 [-0.4568525   1.98321518]
 [-0.12649458  3.18295521]
 [-0.89821433  2.77435532]]","[[[ 0.19637288 -0.04451684]
  [-0.04451684  0.28799552]]

 [[ 0.08303933  0.02514216]
  [ 0.02514216  0.12936684]]

 [[ 0.12745587 -0.02497998]
  [-0.02497998  0.10788921]]

 [[ 0.07665257 -0.03267648]
  [-0.03267648  0.23070198]]]"
123,"Ray, Robbie",5.280036592879815,9.403895251914113,6.530752338586261,[0.10657565 0.29804471 0.24292129 0.35245836],"[[-0.39749972  3.26600425]
 [-0.73577517  2.61838201]
 [ 0.14690275  3.76769456]
 [ 0.07135456  2.80085699]]","[[[ 0.36845784 -0.1545557 ]
  [-0.1545557   0.12273838]]

 [[ 0.14868796  0.01402716]
  [ 0.01402716  0.20206004]]

 [[ 0.17938765  0.02890187]
  [ 0.02890187  0.09806082]]

 [[ 0.15278147  0.04708636]
  [ 0.04708636  0.23605938]]]"
114,"Bieber, Shane",5.409563285507337,9.475841527325802,6.615516838242629,[0.27392694 0.42190279 0.14215695 0.16201331],"[[-0.00694708  2.9464645 ]
 [ 0.59895742  2.7455616 ]
 [ 0.86811578  1.9225495 ]
 [-0.46340066  3.26600799]]","[[[ 0.07566576  0.05169222]
  [ 0.05169222  0.32600044]]

 [[ 0.10846729 -0.00753837]
  [-0.00753837  0.42459009]]

 [[ 0.10292657 -0.03207305]
  [-0.03207305  0.03742656]]

 [[ 0.05434075 -0.01072246]
  [-0.01072246  0.25610167]]]"
67,"Taillon, Jameson",5.455080889036676,9.891764921797279,6.645207753311138,[0.19174217 0.43907044 0.36918739],"[[ 0.85579645  1.6812061 ]
 [-0.1165939   3.37239249]
 [ 0.49068306  2.54877984]]","[[[ 0.09729305  0.00562627]
  [ 0.00562627  0.09558142]]

 [[ 0.19696843 -0.02192378]
  [-0.02192378  0.25590553]]

 [[ 0.19202978  0.08327743]
  [ 0.08327743  0.13175764]]]"
