,Pitcher,Control,Pis,Mus,Covariances
4,"Stripling, Ross",6.985721208,"[0.1593642,0.62439982,0.21623598]","[[0.62576283,2.72270185],[0.75592488,1.74107509],[0.46508152,2.10203439]]","[[[0.11226096,-0.02830309],[-0.02830309,0.03552879]],[[0.13321268,-0.01857522],[-0.01857522,0.17579327]],[[0.11754905,0.04179264],[0.04179264,0.0244731]]]"
82,"Elder, Bryce",7.134851305,"[0.34240369,0.30478207,0.35281424]","[[0.99738738,0.95763365],[-0.09336264,2.39185525],[0.45195184,1.71103496]]","[[[0.10763835,0.03279109],[0.03279109,0.28705538]],[[0.09752618,0.00703612],[0.00703612,0.24702349]],[[0.10798522,0.09105094],[0.09105094,0.25137877]]]"
11,"Dunning, Dane",7.330426069,"[0.22356617,0.29029008,0.18497843,0.07747806,0.22368727]","[[0.11586555,1.87829973],[0.89042286,1.13375445],[0.35377366,2.55969728],[1.91603758,1.06132055],[1.08282651,1.4584753]]","[[[0.08375519,0.0272973],[0.0272973,0.26272502]],[[0.17636741,-0.11598632],[-0.11598632,0.33837258]],[[0.29135851,-0.00235672],[-0.00235672,0.11440999]],[[0.0162627,-0.02816982],[-0.02816982,0.30269052]],[[0.07742077,0.04870065],[0.04870065,0.20636423]]]"
22,"Mikolas, Miles",7.361123299,"[0.69712146,0.10084875,0.20202979]","[[0.64803689,1.84828776],[1.42883679,1.12511832],[0.5205972,2.86013454]]","[[[0.17666742,-0.01768894],[-0.01768894,0.23980791]],[[0.02461264,0.04625498],[0.04625498,0.18743083]],[[0.22790295,-0.01871711],[-0.01871711,0.07205718]]]"
76,"Cole, Gerrit",7.380285564,"[0.40122041,0.21830023,0.38047935]","[[1.28921292,1.08117401],[0.01261913,2.26385644],[0.61366457,1.81532149]]","[[[0.1495253,-0.0465122],[-0.0465122,0.29152959]],[[0.1357943,-0.01625918],[-0.01625918,0.18425326]],[[0.10169319,0.06508407],[0.06508407,0.24458423]]]"
98,"Singer, Brady",7.405275522,"[0.41444483,0.58555517]","[[0.26334535,2.01682323],[0.98290066,1.29759544]]","[[[0.14769623,-0.02825104],[-0.02825104,0.17998535]],[[0.1826539,-0.06206735],[-0.06206735,0.19801693]]]"
38,"Flaherty, Jack",7.466967405,"[0.14789523,0.12219936,0.53295363,0.19695178]","[[-0.06245399,1.74037212],[1.27086844,0.80050151],[0.40325476,1.82981061],[0.59862777,0.99700036]]","[[[0.14412902,-0.00759118],[-0.00759118,0.23227019]],[[0.04163769,-0.01620877],[-0.01620877,0.03602399]],[[0.25857146,-0.08917828],[-0.08917828,0.21885745]],[[0.05322813,-0.04851958],[-0.04851958,0.12579127]]]"
114,"DeSclafani, Anthony",7.512876178,"[0.46868843,0.32650476,0.20480681]","[[1.18856592,1.53202407],[0.32173704,2.82487585],[0.71976381,2.31173521]]","[[[0.18345976,-0.02430235],[-0.02430235,0.23447386]],[[0.17228837,-0.01116371],[-0.01116371,0.18377092]],[[0.22869574,0.20736299],[0.20736299,0.30296746]]]"
54,"Williams, Trevor",7.664945978,"[0.25798286,0.74201714]","[[0.06550121,1.65528305],[0.81551807,1.38162747]]","[[[0.13445923,-0.10461835],[-0.10461835,0.22140014]],[[0.18686185,-0.06129922],[-0.06129922,0.22169509]]]"
80,"Olson, Reese",7.790561435,"[0.18670765,0.54793554,0.26535681]","[[0.12230766,1.71134015],[0.95906996,1.12051352],[0.24437998,2.37746052]]","[[[0.13760497,-0.01926282],[-0.01926282,0.1454005]],[[0.2480456,0.01200916],[0.01200916,0.26628917]],[[0.35229854,-0.09709006],[-0.09709006,0.09978556]]]"
94,"Junis, Jakob",7.808387461,"[0.24895775,0.3115526,0.35421639,0.08527326]","[[0.94736393,1.45762165],[-0.08681155,2.37440932],[0.88094714,2.2527476],[1.7915202,0.84535041]]","[[[0.27380146,-0.00853152],[-0.00853152,0.1578877]],[[0.1434651,-0.06642388],[-0.06642388,0.21087331]],[[0.2776858,-0.14887004],[-0.14887004,0.29612754]],[[0.08855244,0.0396087],[0.0396087,0.07284897]]]"
74,"Corbin, Patrick",7.831833629,"[0.21571986,0.31734347,0.27726222,0.18967446]","[[-0.44315513,0.45206975],[0.33113133,1.49997632],[-0.55214783,1.32429496],[0.20641247,2.22126268]]","[[[0.31096217,0.05644284],[0.05644284,0.12985528]],[[0.22266959,0.08121769],[0.08121769,0.32483223]],[[0.21872557,0.04123155],[0.04123155,0.13236038]],[[0.31402125,-0.01025053],[-0.01025053,0.14440663]]]"
90,"Gray, Jon",7.882087886,"[0.26749874,0.1636649,0.08636913,0.48246724]","[[1.34829988,1.75932232],[0.18793343,2.33260599],[-0.344894,2.87106918],[0.55398682,1.5264671]]","[[[0.10966763,-0.12064715],[-0.12064715,0.38437211]],[[0.10805573,0.04612866],[0.04612866,0.04145426]],[[0.14074384,0.06323151],[0.06323151,0.07410044]],[[0.16982332,-0.10275158],[-0.10275158,0.28075198]]]"
2,"Bradish, Kyle",7.958313157,"[0.25669598,0.4009159,0.34238812]","[[1.17676222,1.00987261],[0.14401076,2.53544199],[0.85592615,1.78315944]]","[[[0.17616383,0.027968],[0.027968,0.17606201]],[[0.22355606,-0.0024463],[-0.0024463,0.30812796]],[[0.16207323,0.10443574],[0.10443574,0.24807437]]]"
84,"Smith, Will",8.067027106,"[0.21436164,0.53350568,0.25213268]","[[-0.51079979,1.78319073],[-0.48811238,1.09745214],[-0.1635498,2.58954302]]","[[[0.27663398,0.00625326],[0.00625326,0.01433345]],[[0.28222388,0.20057582],[0.20057582,0.32760176]],[[0.24710635,0.01086204],[0.01086204,0.08048067]]]"
56,"Cease, Dylan",8.238824966,"[0.27028533,0.25988613,0.21157814,0.25825041]","[[0.3143555,1.69370835],[0.70652757,0.82612585],[0.39757133,2.6514924],[1.3432561,0.8959953]]","[[[0.16158497,-0.08348727],[-0.08348727,0.22273176]],[[0.14852715,0.0493486],[0.0493486,0.2379399]],[[0.28917548,-0.06149117],[-0.06149117,0.24751802]],[[0.11887022,-0.03898968],[-0.03898968,0.56611684]]]"
63,"Luzardo, Jesús",8.238974752,"[0.16755841,0.13640618,0.12664695,0.56938845]","[[0.3607553,2.19034343],[0.74313584,2.96600645],[-1.53279138,0.24708218],[-0.48513678,1.35400311]]","[[[0.13855799,-0.08197811],[-0.08197811,0.11628121]],[[0.17141906,-0.05471334],[-0.05471334,0.15082662]],[[0.05699386,0.04551629],[0.04551629,0.21931978]],[[0.31793474,0.10247622],[0.10247622,0.4173737]]]"
108,"Alcantara, Sandy",8.26987762,"[0.59690826,0.40309174]","[[0.9188221,1.55539857],[0.05360967,2.39087921]]","[[[0.26850667,-0.00034626],[-0.00034626,0.28110986]],[[0.15239786,-0.05837819],[-0.05837819,0.26087491]]]"
75,"Oviedo, Johan",8.32552818,"[0.18934707,0.57655562,0.23409731]","[[1.13122486,1.28044135],[0.31206702,1.99547787],[-0.42352716,2.7669319]]","[[[0.11671393,0.02989181],[0.02989181,0.20891896]],[[0.2052381,0.02728117],[0.02728117,0.40687541]],[[0.14683003,-0.04602898],[-0.04602898,0.33609699]]]"
59,"Merryweather, Julian",8.363862742,"[0.362533,0.41028992,0.1392244,0.08795268]","[[-0.07769558,2.1294551],[0.30012254,1.12139936],[-0.06373206,3.11716907],[1.01800292,0.66826051]]","[[[0.26653582,-0.05325831],[-0.05325831,0.19457314]],[[0.18826268,-0.02628812],[-0.02628812,0.31079754]],[[0.33614645,-0.12282511],[-0.12282511,0.14850188]],[[0.04261813,0.06724432],[0.06724432,0.16252634]]]"
12,"Ober, Bailey",8.38834307,"[0.18692976,0.15265903,0.43637075,0.09868472,0.12535574]","[[1.24346439,1.71535447],[0.09401338,3.1597517],[0.63666551,1.84571151],[0.95871954,2.31213538],[1.94748941,0.72339693]]","[[[0.54852924,0.25060002],[0.25060002,0.28591705]],[[0.27695546,-0.07627198],[-0.07627198,0.07366664]],[[0.43597517,-0.20665857],[-0.20665857,0.20811786]],[[0.12005768,0.02724005],[0.02724005,0.04489556]],[[0.18573827,0.01606699],[0.01606699,0.06520884]]]"
37,"Okert, Steven",8.407648032,"[0.20923087,0.23333619,0.11445622,0.44297672]","[[-0.95858109,1.75974012],[0.65593764,2.21939684],[0.14775897,2.78913478],[-0.02298178,1.75957074]]","[[[0.08120902,0.12102461],[0.12102461,0.3964485]],[[0.18309299,0.08091982],[0.08091982,0.23127052]],[[0.21189216,0.05485686],[0.05485686,0.03777796]],[[0.14981736,0.11414554],[0.1141455,0.26279696]]]"
13,"Seabold, Connor",8.449839674,"[0.44791002,0.55208998]","[[0.04652104,2.58778999],[0.90323631,1.59229071]]","[[[0.16099109,-0.06890027],[-0.06890027,0.26890294]],[[0.27620468,-0.12212954],[-0.12212954,0.34927502]]]"
87,"Webb, Logan",8.480183944,"[0.38633996,0.61366004]","[[0.53951987,2.21623837],[1.349371,1.39829853]]","[[[0.35043048,-0.02058623],[-0.02058623,0.20671819]],[[0.336793,-0.08585331],[-0.08585331,0.20717375]]]"
72,"Bieber, Shane",8.50355159,"[0.47464495,0.52535505]","[[1.02220446,0.92861578],[0.27634123,2.18425672]]","[[[0.13080918,-0.04226457],[-0.04226457,0.33236882]],[[0.15466196,-0.06581333],[-0.06581333,0.39914542]]]"
55,"Kikuchi, Yusei",8.529328458,"[0.07322752,0.19357603,0.07709732,0.65609914]","[[0.55702498,2.51228559],[-0.98461294,1.1679907],[0.55413474,1.51271337],[-0.3246135,2.04213265]]","[[[0.02269088,0.01959331],[0.01959331,0.02473574]],[[0.10325594,0.01219493],[0.01219493,0.20654422]],[[0.07699805,0.11237812],[0.11237812,0.24229789]],[[0.16741752,0.03971752],[0.03971752,0.34811262]]]"
31,"Kershaw, Clayton",8.54332008,"[0.43926942,0.56073058]","[[-0.26856293,2.37395672],[-0.43842324,1.29535229]]","[[[0.15077704,0.03446959],[0.03446959,0.27491703]],[[0.18163426,0.02936114],[0.02936114,0.31421491]]]"
78,"Wood, Alex",8.569889956,"[0.28085572,0.21868252,0.50046176]","[[-0.5421358,1.18264038],[0.33714443,2.61472804],[-0.46007784,1.88472331]]","[[[0.46738449,0.12612819],[0.12612819,0.06651419]],[[0.33995879,0.01848425],[0.01848425,0.05016237]],[[0.43365469,0.07988933],[0.07988933,0.0893514]]]"
49,"Strider, Spencer",8.571929669,"[0.17179351,0.50931658,0.31888991]","[[1.52862203,0.82623936],[0.5280579,2.08436985],[0.49662627,1.0574844]]","[[[0.07809533,-0.02637487],[-0.02637487,0.23981548]],[[0.23626992,-0.08502321],[-0.08502321,0.34792953]],[[0.2179808,-0.16898295],[-0.16898295,0.32787192]]]"
58,"Alzolay, Adbert",8.62074727,"[0.10349856,0.50328246,0.39321898]","[[0.57197497,1.02879306],[0.10825194,2.26357494],[1.12738216,1.88917139]]","[[[0.17567641,0.02864617],[0.02864617,0.02678029]],[[0.14198229,-0.03625141],[-0.03625141,0.32483462]],[[0.09687119,-0.04387772],[-0.04387772,0.54043154]]]"
